,Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income
0,1,30.83,0.0,1,1,Industrials,White,1.25,1,1,1,0,ByBirth,202,0
1,0,58.67,4.46,1,1,Materials,Black,3.04,1,1,6,0,ByBirth,43,560
2,0,24.5,0.5,1,1,Materials,Black,1.5,1,0,0,0,ByBirth,280,824
3,1,27.83,1.54,1,1,Industrials,White,3.75,1,1,5,1,ByBirth,100,3
4,1,20.17,5.625,1,1,Industrials,White,1.71,1,0,0,0,ByOtherMeans,120,0
5,1,32.08,4.0,1,1,CommunicationServices,White,2.5,1,0,0,1,ByBirth,360,0
6,1,33.17,1.04,1,1,Transport,Black,6.5,1,0,0,1,ByBirth,164,31285
7,0,22.92,11.585,1,1,InformationTechnology,White,0.04,1,0,0,0,ByBirth,80,1349
8,1,54.42,0.5,0,0,Financials,Black,3.96,1,0,0,0,ByBirth,180,314
9,1,42.5,4.915,0,0,Industrials,White,3.165,1,0,0,1,ByBirth,52,1442
10,1,22.08,0.83,1,1,Energy,Black,2.165,0,0,0,1,ByBirth,128,0
11,1,29.92,1.835,1,1,Energy,Black,4.335,1,0,0,0,ByBirth,260,200
12,0,38.25,6.0,1,1,Financials,White,1.0,1,0,0,1,ByBirth,0,0
13,1,48.08,6.04,1,1,Financials,White,0.04,0,0,0,0,ByBirth,0,2690
14,0,45.83,10.5,1,1,Materials,White,5.0,1,1,7,1,ByBirth,0,0
15,1,36.67,4.415,0,0,Financials,White,0.25,1,1,10,1,ByBirth,320,0
16,1,28.25,0.875,1,1,CommunicationServices,White,0.96,1,1,3,1,ByBirth,396,0
17,0,23.25,5.875,1,1,Materials,White,3.17,1,1,10,0,ByBirth,120,245
18,1,21.83,0.25,1,1,Real Estate,Black,0.665,1,0,0,1,ByBirth,0,0
19,0,19.17,8.585,1,1,InformationTechnology,Black,0.75,1,1,7,0,ByBirth,96,0
20,1,25.0,11.25,1,1,Energy,White,2.5,1,1,17,0,ByBirth,200,1208
21,1,23.25,1.0,1,1,Energy,White,0.835,1,0,0,0,ByOtherMeans,300,0
22,0,47.75,8.0,1,1,Energy,White,7.875,1,1,6,1,ByBirth,0,1260
23,0,27.42,14.5,1,1,Utilities,Black,3.085,1,1,1,0,ByBirth,120,11
24,0,41.17,6.5,1,1,Materials,White,0.5,1,1,3,1,ByBirth,145,0
25,0,15.83,0.585,1,1,Energy,Black,1.5,1,1,2,0,ByBirth,100,0
26,0,47.0,13.0,1,1,ConsumerDiscretionary,Asian,5.165,1,1,9,1,ByBirth,0,0
27,1,56.58,18.5,1,1,Real Estate,Asian,15.0,1,1,17,1,ByBirth,0,0
28,1,57.42,8.5,1,1,Education,Black,7.0,1,1,3,0,ByBirth,0,0
29,1,42.08,1.04,1,1,Industrials,White,5.0,1,1,6,1,ByBirth,500,10000
30,1,29.25,14.79,1,1,ConsumerStaples,White,5.04,1,1,5,1,ByBirth,168,0
31,1,42.0,9.79,1,1,Utilities,Black,7.96,1,1,8,0,ByBirth,0,0
32,1,49.5,7.585,1,1,ConsumerDiscretionary,Asian,7.585,1,1,15,1,ByBirth,0,5000
33,0,36.75,5.125,1,1,Education,White,5.0,1,0,0,1,ByBirth,0,4000
34,0,22.58,10.75,1,1,Materials,White,0.415,1,1,5,1,ByBirth,0,560
35,1,27.83,1.5,1,1,Industrials,White,2.0,1,1,11,1,ByBirth,434,35
36,1,27.25,1.585,1,1,InformationTechnology,Black,1.835,1,1,12,1,ByBirth,583,713
